0.	-0.27842723716868134
0.01	-0.2784852421237325
0.02	-0.27865921349554057
0.03	-0.27894891112070286
0.04	-0.279353936613561
0.05	-0.27987376478658976
0.06	-0.28050770894038124
0.07	-0.2812548993040771
0.08	-0.2821144379732172
0.09	-0.28308514975557053
0.1	-0.2841658307390266
0.11	-0.2853551567776663
0.12	-0.28665164558226175
0.13	-0.2880537554702113
0.14	-0.2895598600684975
0.15	-0.2911681702806155
0.16	-0.29287691056842646
0.17	-0.29468418455058965
0.18	-0.29658810698960136
0.19	7.91368842678608e-9
0.2	1.5232739014603425e-8
0.21	2.5403762593523282e-8
0.22	2.3467216198058694e-8
0.23	-9.710597326240133e-10
0.24	-1.1458505810857389e-9
0.25	-1.170932312222206e-8
0.26	1.7597704127236824e-9
0.27	1.6967743876605823e-10
0.28	-2.8774880256321467e-9
0.29	-3.399391518277284e-9
0.3	-1.3480137783794532e-8
